year,ID_NUMBER,FACILITY_NAME,STREET_ADDRESS,CITY_NAME,STATE_CODE,ZIP_CODE,actual,predicted
2017,NCD077840148,"SAFETY-KLEEN SYSTEMS, INC",6182 OLD MENDENHALL ROAD,ARCHDALE,NC,27263,0,0
2017,MAD000221028,BI-QEM INC.,238  NONOTUCK ST,FLORENCE,MA,1062,1,0
2017,NCD980846935,"SAFETY-KLEEN SYSTEMS, INC",934 N 5TH ST,SAINT PAULS,NC,28384,0,0
2017,MAD066991902,MERCY MEDICAL CENTER,271 CAREW ST,SPRINGFIELD,MA,1104,1,0
2017,NCR000167742,WINSTON STEEL LLC,1945 UNION CROSS RD,WINSTON SALEM,NC,27107,0,0
2017,CA0000084517,"SAFETY-KLEEN SYSTEMS,INC.",6000 88TH STREET,SACRAMENTO,CA,95828-0000,0,0
2017,CA0000084517,"SAFETY-KLEEN SYSTEMS,INC.",6000 88TH STREET,SACRAMENTO,CA,95828-0000,0,0
2017,TND047000898,BON L MFG COMPANY,STATE HIGHWAY 53,CARTHAGE,TN,37030,1,0
2017,MTR000005041,ROCKY MOUNTAIN COLLEGE,1511 POLY DR,BILLINGS,MT,59102,0,0
2017,CA0000038141,CITY OF ROSEVILLE CORP YARD,2005 HILLTOP CIR,ROSEVILLE,CA,95747-9704,1,0
2017,CA2170023533,MCB CAMP PENDLETON; ENVIRONMENTAL SECURITY,22165 CAMP PENDLETON,CAMP PENDLETON,CA,92055-5008,0,0
2017,CA0000368035,RESTEC CONTRACTORS INC,22959 KIDDER ST,HAYWARD,CA,94545,0,0
2017,CA0000928523,LOS ANGELES COUNTY SANITATION DIST/CALABASAS LANDFILL,5300 LOST HILLS ROAD,AGOURA,CA,91301-0000,0,0
2017,CA1800090010,NATIONAL AERONAUTICS AND SPACE ADMINISTRATION SANTA SUSANA FIELD LAB,5800 WOOLSEY CANYON ROAD,CANOGA PARK,CA,91304,0,0
2017,KYR000064543,DOLLAR EXPRESS STORE  #1239,1722 MADISON AVE,COVINGTON,KY,41011,0,0
2017,MT4210090060,US ARMY CORP OF ENGINEERS FORT PECK PROJECT,215 YELLOWSTONE RD,FORT PECK,MT,59223,0,0
2017,MTR000208678,OREILLY AUTO PARTS STORE 1554,1301 3RD ST NW,GREAT FALLS,MT,59404,0,0
2017,NVR000075341,WALMART  1559,201 N NELLIS BLVD,LAS VEGAS,NV,89110,0,0
2017,TNR000031054,MC IONIC SOLUTIONS US INC,2665 B FITE RD   SUITE 101,MEMPHIS,TN,38127,0,0
2017,MTR000208587,AMERICAN STEEL,1655 COULSON RD,BILLINGS,MT,59101,0,0
2017,KYR000066225,DICK'S SPORTING GOODS #5503/ DBA FIELD & STREAM,520 CLOCK TOWER WAY,CRESCENT SPRINGS,KY,41017,0,0
2017,KYR000058537,THE KROGER CO,1700 DECLARATION DRIVE,INDEPENDENCE,KY,41051,0,0
2017,KYD006399000,LEDVANCE LLC,900 TYRONE PIKE,VERSAILLES,KY,40383,1,0
2017,KYD006399000,LEDVANCE LLC,900 TYRONE PIKE,VERSAILLES,KY,40383,1,0
2017,KYD006399000,LEDVANCE LLC,900 TYRONE PIKE,VERSAILLES,KY,40383,1,0
2017,KYD006399000,LEDVANCE LLC,900 TYRONE PIKE,VERSAILLES,KY,40383,1,0
2017,KYD006399000,LEDVANCE LLC,900 TYRONE PIKE,VERSAILLES,KY,40383,1,0
2017,KYD006399000,LEDVANCE LLC,900 TYRONE PIKE,VERSAILLES,KY,40383,1,0
2017,KYD006399000,LEDVANCE LLC,900 TYRONE PIKE,VERSAILLES,KY,40383,1,0
2017,KYD006399000,LEDVANCE LLC,900 TYRONE PIKE,VERSAILLES,KY,40383,1,0
2017,KYD006399000,LEDVANCE LLC,900 TYRONE PIKE,VERSAILLES,KY,40383,1,0
2017,KYD006399000,LEDVANCE LLC,900 TYRONE PIKE,VERSAILLES,KY,40383,1,0
2017,KYD006399000,LEDVANCE LLC,900 TYRONE PIKE,VERSAILLES,KY,40383,1,0
2017,KYD006399000,LEDVANCE LLC,900 TYRONE PIKE,VERSAILLES,KY,40383,1,0
2017,CA1570024504,EDWARDS AIR FORCE BASE,446 N. ROSAMOND BLVD BLDG 4916,EDWARDS,CA,93524-1130,1,0
2017,ILD005119987,TIBOR MACHINE PRODUCTS,7400 W 100TH PL,BRIDGEVIEW,IL,60455,0,0
2017,ALR000056549,EASTERN SHORE HYUNDAI,29736 FREDERICK BLVD,DAPHNE,AL,36526,1,0
2017,ALR000038323,"ERSHIGS, INC. GRAND BAY",12050 INTERCHANGE DR,GRAND BAY,AL,36541,0,1
2017,NJR986653707,ASSET RECOVERY SPECIALISTS INC,3 KILLDEER CT,SWEDESBORO,NJ,8085,1,0
2017,NJD065821191,CHILTON MEMORIAL HOSPITAL,97 WEST PKWY,POMPTON PLAINS,NJ,7444,0,0
2017,VTR000522896,GREEN MOUNTAIN POWER SEARSBURG GENERATION FACILITY,528 SLEEPY HOLLOW ROAD,SEARSBURG,VT,5363,0,1
2017,VTR000515890,GREEN MOUNTAIN POWER CORP WILMINGTON SVC CTR,107 MAIN ST,WILMINGTON,VT,5363,0,1
2017,VTR000522573,GREEN MOUNTAIN POWER LOWELL GENERATION FACILITY,1300 EDWARD DR,LOWELL,VT,5847,1,1
2017,VTD982194698,GMP MONTPELIER SERVICE CENTER,7 GREEN MOUNTAIN DR,MONTPELIER,VT,5602,1,1
2017,KYD981022296,ROCORE THERMAL SYSTEMS LLC,644 SOUTHWIND DR,BURKESVILLE,KY,42717,1,0
2017,KYD981022296,ROCORE THERMAL SYSTEMS LLC,644 SOUTHWIND DR,BURKESVILLE,KY,42717,1,0
2017,KYD981022296,ROCORE THERMAL SYSTEMS LLC,644 SOUTHWIND DR,BURKESVILLE,KY,42717,1,0
2017,SCR000004168,PATHEON API MANUFACTURING INC,309 DELAWARE ST,GREENVILLE,SC,29605,1,1
2017,CA2890012923,SANDIA NATIONAL LABORATORIES,7011 EAST AVENUE,LIVERMORE,CA,94550-0000,1,0
2017,KYR000048140,ACC ENTERPRISE,6845 OLD MAYFIELD ROAD,PADUCAH,KY,42003-9534,0,0
2017,ARD982558561,ALBEMARLE CORPORATION WEST PLANT,1550 HIGHWAY 371 WEST,MAGNOLIA,AR,71754,0,0
2017,ARD982558561,ALBEMARLE CORPORATION WEST PLANT,1550 HIGHWAY 371 WEST,MAGNOLIA,AR,71754,0,0
2017,IAR000509976,PECH OPTICAL CORP,2717 MURRAY ST,SIOUX CITY,IA,51111,1,1
2017,KYR000064766,FAMILY DOLLAR #1129,100 LIBERTY SQ,LIBERTY,KY,42539,0,0
2017,DCR000001933,NATIONAL TRANSPORTATION SAFETY BOARD,490 LENFANT PLAZA EAST SW,WASHINGTON,DC,20594,0,0
2017,KYD985082809,TEXAS EASTERN TRANSMISSION - MP 338.42 MONROE COUNTY,5 MI. NW OFF HIGHWAY 100,GAMALIEL,KY,42140,0,0
2017,OHD000817312,GE AIRCRAFT ENGINES,1 NEUMANN WAY,CINCINNATI,OH,45215,0,0
2017,WAD981764434,MANKE LUMBER CO INC SUMNER,13702 STEWART RD,SUMNER,WA,98390,0,0
2017,CTR000509281,CVS PHARMACY 671,1099 NEW BRITAIN AVE,WEST HARTFORD,CT,6110,1,0
2017,KYR000063891,FAMILY DOLLAR #10074,217 NORTH HWY 27,SOMERSET,KY,42503,0,0
2017,IAD007262611,SIOUX CITY FOUNDRY ,801 DIVISION ST,SIOUX CITY,IA,51105,1,1
2017,CA2890090002,LAWRENCE LIVERMORE NATIONAL LABORATORY - SITE 300,CORRAL HOLLOW ROAD,TRACY,CA,94551,0,0
2017,CA2890090002,LAWRENCE LIVERMORE NATIONAL LABORATORY - SITE 300,CORRAL HOLLOW ROAD,TRACY,CA,94551,0,0
2017,CA2890090002,LAWRENCE LIVERMORE NATIONAL LABORATORY - SITE 300,CORRAL HOLLOW ROAD,TRACY,CA,94551,0,0
2017,CA2890090002,LAWRENCE LIVERMORE NATIONAL LABORATORY - SITE 300,CORRAL HOLLOW ROAD,TRACY,CA,94551,0,0
2017,CA2890090002,LAWRENCE LIVERMORE NATIONAL LABORATORY - SITE 300,CORRAL HOLLOW ROAD,TRACY,CA,94551,0,0
2017,CA2890090002,LAWRENCE LIVERMORE NATIONAL LABORATORY - SITE 300,CORRAL HOLLOW ROAD,TRACY,CA,94551,0,0
2017,CA2890090002,LAWRENCE LIVERMORE NATIONAL LABORATORY - SITE 300,CORRAL HOLLOW ROAD,TRACY,CA,94551,0,0
2017,CA2890090002,LAWRENCE LIVERMORE NATIONAL LABORATORY - SITE 300,CORRAL HOLLOW ROAD,TRACY,CA,94551,0,0
2017,CA2890090002,LAWRENCE LIVERMORE NATIONAL LABORATORY - SITE 300,CORRAL HOLLOW ROAD,TRACY,CA,94551,0,0
2017,CA2890090002,LAWRENCE LIVERMORE NATIONAL LABORATORY - SITE 300,CORRAL HOLLOW ROAD,TRACY,CA,94551,0,0
2017,CA2890090002,LAWRENCE LIVERMORE NATIONAL LABORATORY - SITE 300,CORRAL HOLLOW ROAD,TRACY,CA,94551,0,0
2017,CA2890090002,LAWRENCE LIVERMORE NATIONAL LABORATORY - SITE 300,CORRAL HOLLOW ROAD,TRACY,CA,94551,0,0
2017,CA3890090001,SANTA SUSANA FIELD LABORATORY RMHF,5800 WOOLSEY CANYON ROAD,SIMI VALLEY,CA,91304,0,0
2017,KSD981506025,EMERALD TRANSFORMER PPM LLC,2474 N HWY 169,COFFEYVILLE,KS,67337,0,0
2017,ALR000047332,FREIGHTCAR ALABAMA LLC,1200 HALEY DRIVE,CHEROKEE,AL,35616,0,0
2017,MND006149330,DCI INC.,600 NORTH 54TH AVE,ST CLOUD,MN,56303,0,0
2017,MND006149330,DCI INC.,600 NORTH 54TH AVE,ST CLOUD,MN,56303,0,0
2017,MND006149330,DCI INC.,600 NORTH 54TH AVE,ST CLOUD,MN,56303,0,0
2017,MND006149330,DCI INC.,600 NORTH 54TH AVE,ST CLOUD,MN,56303,0,0
2017,MND006149330,DCI INC.,600 NORTH 54TH AVE,ST CLOUD,MN,56303,0,0
2017,MND006149330,DCI INC.,600 NORTH 54TH AVE,ST CLOUD,MN,56303,0,0
2017,MND006149330,DCI INC.,600 NORTH 54TH AVE,ST CLOUD,MN,56303,0,0
2017,SCR000782342,SWISHER HYGIENE,130 HUNTER VILLAGE DR,IRMO,SC,29063,0,0
2017,KYD066051913,INTERPLASTIC MANUFACTURING COMPANY,3535 LATONIA AVE.,LATONIA,KY,41015,0,0
2017,NVR000080788,TARGET STORE T0826,3210 N TENAYA WAY,LAS VEGAS,NV,89129,0,0
2017,KYR000055962,B.C. ENTERPRISE,412 SAVORY ROAD,WILLIAMSBURG,KY,40769,1,0
2017,SCD003343639,WELLMAN PLASTICS RECYCLING LLC,520 KINGSBURG HWY,JOHNSONVILLE,SC,29555,0,1
2017,SCD003343639,WELLMAN PLASTICS RECYCLING LLC,520 KINGSBURG HWY,JOHNSONVILLE,SC,29555,0,1
2017,SCD003343639,WELLMAN PLASTICS RECYCLING LLC,520 KINGSBURG HWY,JOHNSONVILLE,SC,29555,0,1
2017,SCD003343639,WELLMAN PLASTICS RECYCLING LLC,520 KINGSBURG HWY,JOHNSONVILLE,SC,29555,0,1
2017,SCD003343639,WELLMAN PLASTICS RECYCLING LLC,520 KINGSBURG HWY,JOHNSONVILLE,SC,29555,0,1
2017,SCD003343639,WELLMAN PLASTICS RECYCLING LLC,520 KINGSBURG HWY,JOHNSONVILLE,SC,29555,0,1
2017,SCD003343639,WELLMAN PLASTICS RECYCLING LLC,520 KINGSBURG HWY,JOHNSONVILLE,SC,29555,0,1
2017,SCD003343639,WELLMAN PLASTICS RECYCLING LLC,520 KINGSBURG HWY,JOHNSONVILLE,SC,29555,0,1
2017,SCD003343639,WELLMAN PLASTICS RECYCLING LLC,520 KINGSBURG HWY,JOHNSONVILLE,SC,29555,0,1
2017,NYD002234763,EVANS CHEMETICS LP,228 EAST MAIN STREET,WATERLOO,NY,13165,0,0
2017,NYD002234763,EVANS CHEMETICS LP,228 EAST MAIN STREET,WATERLOO,NY,13165,0,0
2017,NYD002234763,EVANS CHEMETICS LP,228 EAST MAIN STREET,WATERLOO,NY,13165,0,0
2017,NYD002234763,EVANS CHEMETICS LP,228 EAST MAIN STREET,WATERLOO,NY,13165,0,0
2017,NYD002234763,EVANS CHEMETICS LP,228 EAST MAIN STREET,WATERLOO,NY,13165,0,0
2017,NYD002234763,EVANS CHEMETICS LP,228 EAST MAIN STREET,WATERLOO,NY,13165,0,0
2017,NYD002234763,EVANS CHEMETICS LP,228 EAST MAIN STREET,WATERLOO,NY,13165,0,0
2017,NYD002234763,EVANS CHEMETICS LP,228 EAST MAIN STREET,WATERLOO,NY,13165,0,0
2017,NYD002234763,EVANS CHEMETICS LP,228 EAST MAIN STREET,WATERLOO,NY,13165,0,0
2017,NYD002234763,EVANS CHEMETICS LP,228 EAST MAIN STREET,WATERLOO,NY,13165,0,0
2017,NYD002234763,EVANS CHEMETICS LP,228 EAST MAIN STREET,WATERLOO,NY,13165,0,0
2017,NYD002234763,EVANS CHEMETICS LP,228 EAST MAIN STREET,WATERLOO,NY,13165,0,0
2017,DC4210021156,FORMER WALTER REED ARMY MEDICAL CENTER,6900 GEORGIA AVENUE NW,WASHINGTON,DC,20307-5001,0,0
2017,DC4210021156,FORMER WALTER REED ARMY MEDICAL CENTER,6900 GEORGIA AVENUE NW,WASHINGTON,DC,20307-5001,0,0
2017,DC4210021156,FORMER WALTER REED ARMY MEDICAL CENTER,6900 GEORGIA AVENUE NW,WASHINGTON,DC,20307-5001,0,0
2017,KYR000068528,DOLLAR TREE #00731,7614 MALL ROAD,FLORENCE,KY,41042,0,0
2017,KYR000068411,DOLLAR TREE #03103,82 CAROTHERS ROAD SUITE C,NEWPORT,KY,41071,0,0
2017,KY5360900000,"LEXINGTON VA HEALTH CARE SYSTEM , COOPER DIVISION",1101 VETERANS DRIVE,LEXINGTON,KY,40502,0,0
2017,PRR000017962,BARD SHANNON LTD,"3 RD 3KM 76.7,LOTS 1,2,3",HUMACAO,PR,791,0,0
2017,PRR000024224,HAEMONETICS PUERTO RICO LLC,ROAD #194 KM 0.4 PALL BLVD,FAJARDO,PR,738,1,0
2017,KYD985086883,KINERGY CORPORATION,7310 GRADE LANE,LOUISVILLE,KY,40219,0,0
2017,ILD984855452,VACANT LOT,610 W WISE RD,SCHAUMBURG,IL,60193,0,0
2017,NYD049836679,CWM CHEMICAL SERVICES LLC,1550 BALMER RD,MODEL CITY,NY,14107,0,0
2017,NYD049836679,CWM CHEMICAL SERVICES LLC,1550 BALMER RD,MODEL CITY,NY,14107,0,0
2017,NYD049836679,CWM CHEMICAL SERVICES LLC,1550 BALMER RD,MODEL CITY,NY,14107,0,0
2017,NYD049836679,CWM CHEMICAL SERVICES LLC,1550 BALMER RD,MODEL CITY,NY,14107,0,0
2017,NYD049836679,CWM CHEMICAL SERVICES LLC,1550 BALMER RD,MODEL CITY,NY,14107,0,0
2017,NYD049836679,CWM CHEMICAL SERVICES LLC,1550 BALMER RD,MODEL CITY,NY,14107,0,0
2017,NYD049836679,CWM CHEMICAL SERVICES LLC,1550 BALMER RD,MODEL CITY,NY,14107,0,0
2017,NYD049836679,CWM CHEMICAL SERVICES LLC,1550 BALMER RD,MODEL CITY,NY,14107,0,0
2017,OHD071654958,RETRIEV TECHNOLOGIES INC,265 QUARRY RD,LANCASTER,OH,43130,0,1
2017,OHD071654958,RETRIEV TECHNOLOGIES INC,265 QUARRY RD,LANCASTER,OH,43130,0,1
2017,OHD071654958,RETRIEV TECHNOLOGIES INC,265 QUARRY RD,LANCASTER,OH,43130,0,1
2017,OHD071654958,RETRIEV TECHNOLOGIES INC,265 QUARRY RD,LANCASTER,OH,43130,0,0
2017,OHD071654958,RETRIEV TECHNOLOGIES INC,265 QUARRY RD,LANCASTER,OH,43130,0,0
2017,OHD071654958,RETRIEV TECHNOLOGIES INC,265 QUARRY RD,LANCASTER,OH,43130,0,1
2017,OHD071654958,RETRIEV TECHNOLOGIES INC,265 QUARRY RD,LANCASTER,OH,43130,0,1
2017,OHD071654958,RETRIEV TECHNOLOGIES INC,265 QUARRY RD,LANCASTER,OH,43130,0,1
2017,OHD071654958,RETRIEV TECHNOLOGIES INC,265 QUARRY RD,LANCASTER,OH,43130,0,1
2017,ILD113857700,NICOR GAS,3000 E CASS AVE,JOLIET,IL,60433,0,0
2017,CTD000841171,NAVTEC INC,351 NEW WHITFIELD ST,GUILFORD,CT,6437,1,0
2017,CTR000516005,SERVEPRO OF THE FARMINGTON VALLEY,525 NEW BRITAIN AVE,UNIONVILLE,CT,6085,0,0
